Name,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,SuperPowers,Universe,Alignment,Gender
Raijin,50,75,25,25,50,40,3,"Amphibious Respiration,Animal Attributes,Cold Resistance,Electricity Resistance,Endurance,Fire Resistance,Heat Resistance,Invulnerability,Jaw Strength,Large Size,Natural Armor,Natural Weapons,Toxin and Disease Resistance,Attack Negation,Corruption,Electrokinesis,Energy Absorption,Energy Resistance,Enhanced Senses,Reflexes,Seismic Power,Self-Sustenance,Illumination,Multiple Limbs",Pacific Rim,Bad,
Raiju,45,75,25,25,35,45,3,"Amphibious Respiration,Animal Attributes,Cold Resistance,Corruption,Fire Resistance,Heat Resistance,Jaw Strength,Large Size,Natural Armor,Natural Weapons,Toxin and Disease Resistance,Underwater breathing,Agility,Dexterity,Elasticity,Endurance,Enhanced Senses,Electricity Resistance,Energy Resistance,Illumination,Invulnerability",Pacific Rim,Bad,
Romeo Blue,55,80,25,25,55,60,2,"Durability,Endurance,Intelligence,Stamina,Super Speed,Super Strength,Agility,Cold Resistance,Electricity Resistance,Energy Blasts,Energy Resistance,Enhanced Sight,Fire Resistance,Heat Generation,Heat Resistance,Jump,Marksmanship,Radiation Immunity,Reflexes,Stealth,Weapon-based Powers,Weapons Master,Invulnerability",Pacific Rim,Good,
Saber Athena,55,75,25,25,50,55,3,"Cold Resistance,Fire Resistance,Heat Resistance,Large Size,Reflexes,Self-Sustenance,Toxin and Disease Resistance,Weapon-based Powers,Acrobatics,Agility,Damage Boost,Electricity Resistance,Endurance,Energy Beams,Enhanced Senses,Invulnerability,Jump,Master Martial Artist,Radar Sense,Radiation Immunity,Swordsmanship,Attack Negation,Dexterity,Energy Resistance",Pacific Rim,Good,
Scunner,60,75,25,25,35,45,3,"Amphibious Respiration,Animal Attributes,Cold Resistance,Fire Resistance,Heat Resistance,Large Size,Natural Armor,Natural Weapons,Toxin and Disease Resistance,Endurance,Enhanced Senses,Jaw Strength,Multiple Limbs,Corruption,Electricity Resistance,Energy Resistance,Illumination,Invulnerability,Rage Inducement",Pacific Rim,Bad,
Slattern,60,75,25,25,50,40,3,"Amphibious Respiration,Animal Attributes,Cold Resistance,Corruption,Electricity Resistance,Endurance,Fire Resistance,Heat Resistance,Invulnerability,Large Size,Multiple Limbs,Natural Armor,Natural Weapons,Toxin and Disease Resistance,Danger Sense,Energy Resistance,Enhanced Senses,Instinctive Reaction,Jaw Strength,Sonic Scream,Agility,Elasticity,Electrokinesis,Enhanced Sight,Illumination,Radiation Immunity",Pacific Rim,Bad,
Striker Eureka,60,75,25,25,50,65,3,"Cold Resistance,Endurance,Enhanced Sight,Explosion Manipulation,Heat Resistance,Invulnerability,Large Size,Self-Sustenance,Toxin and Disease Resistance,Weapon-based Powers,Agility,Dexterity,Electricity Resistance,Enhanced Senses,Heat Generation,Homing Attack,Marksmanship,Radar Sense,Reflexes,Self-Destruction,Spatial Awareness,Damage Boost,Energy Resistance,Master Martial Artist,Multiple Personalities,Radiation Immunity,Weapons Master",Pacific Rim,Good,
Tacit Ronin,55,85,25,25,55,65,2,"Durability,Endurance,Intelligence,Stamina,Super Speed,Super Strength,Cold Resistance,Electricity Resistance,Energy Beams,Energy Blasts,Energy Resistance,Enhanced Sight,Fire Resistance,Heat Generation,Heat Resistance,Jump,Marksmanship,Radiation Immunity,Stealth,Vision - Infrared,Vision - Night,Vision - Thermal,Weapon-based Powers,Weapons Master,Acrobatics,Invulnerability",Pacific Rim,Good,
Trespasser,40,75,25,25,25,30,2,"Amphibious Respiration,Animal Attributes,Endurance,Large Size,Natural Weapons,Cold Resistance,Electricity Resistance,Enhanced Senses,Fire Resistance,Heat Resistance,Jaw Strength,Multiple Limbs,Natural Armor,Toxin and Disease Resistance,Corruption,Illumination",Pacific Rim,Bad,
Ana,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Female
Ashe,45,1,1,15,20,45,1,"Agility,Durability,Explosion Manipulation,Fire Control,Intelligence,Marksmanship,Summoning,Weapons Master",Overwatch - Overwatch Universe,,Female
Baptiste,65,1,1,15,5,9,1,"Accelerated Healing,Agility,Damage Boost,Damage Reduction,Durability,Intelligence,Weapons Master",Overwatch - Overwatch Universe,Good,Male
Bastion,45,1,1,20,40,45,1,"Accelerated Healing,Agility,Damage Reduction,Durability,Explosion Manipulation,Information Analysis,Intelligence,Super Speed,Super Strength,Technological Possession,Weapons Master,Transformation",Overwatch - Overwatch Universe,Neutral,
Brigitte,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Female
D.Va,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,,Female
DoomFist,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,,Male
Echo,95,25,20,25,25,20,1,"Accelerated Development,Agility,Durability,Energy Beams,Energy Blasts,Energy Manipulation,Explosion Manipulation,Flight,Information Analysis,Intelligence,Power Mimicry,Self-Sustenance,Super Speed,Super Strength,Adaptation,Energy Armor,Levitation,Vehicular Mastery",Overwatch - Overwatch Universe,Good,
Hanzo,55,1,1,17,60,90,1,"Acrobatics,Agility,Durability,Enhanced Senses,Intelligence,Master Martial Artist,Stealth,Summoning,Super Speed,Super Strength,Surface Scaling,Vibration Manipulation,Weapon-based Powers,Weapons Master,Energy Blasts",Overwatch - Overwatch Universe,Neutral,Male
Junkrat,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Bad,Male
Lucio,55,1,7,15,40,45,1,"Accelerated Healing,Agility,Audio Control,Durability,Force Fields,Master Martial Artist,Sound Manipulation,Statistics Amplification,Super Speed,Marksmanship",Overwatch - Overwatch Universe,Good,Male
McCree,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Male
Mei,85,1,1,25,50,18,1,"Agility,Cold Resistance,Cryokinesis,Durability,Intelligence,Marksmanship,Statistics Reduction,Weapon-based Powers,Weapons Master,Accelerated Healing,Force Fields",Overwatch - Overwatch Universe,Good,Female
Mercy,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Female
Moira,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Female
Orisa,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Female
Pharah,55,13,1,15,55,45,1,"Agility,Durability,Explosion Manipulation,Flight,Intelligence,Marksmanship,Master Martial Artist,Super Speed,Super Strength,Weapons Master",Overwatch - Overwatch Universe,Good,Female
Reaper,65,13,25,25,25,80,1,"Death Manipulation,Deconstruction,Grappling/Climbing,Marksmanship,Teleportation,Hellfire Manipulation,Master Tactician,Accelerated Development,Acrobatics",Overwatch - Overwatch Universe,Bad,Male
Reinhardt,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Male
Roadhog,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Male
Sigma,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Male
Soldier 76,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Male
Sombra,90,1,1,15,30,100,1,"Agility,Durability,Electro-Magnetism Manipulation,Hacking,Intelligence,Invisibility,Marksmanship,Master Martial Artist,Stealth,Super Speed,Super Strength,Technological Possession,Technopath/Cyberpath,Teleportation,Weapons Master,Cyborgization,Enhanced Senses",Overwatch - Overwatch Universe,Neutral,Female
Symmetra,80,1,11,15,40,10,1,"Creation,Durability,Energy Beams,Energy Blasts,Energy Manipulation,Force Fields,Intelligence,Light Control,Marksmanship,Portal Creation,Reactive Power Level,Super Speed,Super Strength,Agility,Preparation,Statistics Reduction",Overwatch - Overwatch Universe,Neutral,Female
Torbj?rn,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Male
Tracer,55,25,35,25,25,25,1,"Agility,Durability,Energy Blasts,Intelligence,Marksmanship,Super Speed,Super Strength,Teleportation,Timeframe Control,Vehicular Mastery,Weapons Master,Explosion Manipulation,Time Manipulation",Overwatch - Overwatch Universe,Good,Female
Winston,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Male
Wrecking Ball,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Male
Zarya,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Female
Zenyatta,0,0,0,0,0,0,0,Null,Overwatch - Overwatch Universe,Neutral,Male
All For One,75,100,40,35,90,90,1,"Agility,Enhanced Senses,Extrasensory Perception,Information Analysis,Master Martial Artist,Reflexes,Ability Shift,Attack Reflection,Bone Manipulation,Levitation,Longevity,Mind Control,Mind Transfer,Power Absorption,Power Bestowal,Regeneration,Statistics Amplification,Wind Control,Body Puppetry,Teleportation",MHA - My Hero Academia,Bad,Male
All Might,75,100,50,90,90,90,3,"Acrobatics,Agility,Berserk Mode,Durability,Endurance,Enhanced Senses,Indomitable Will,Intelligence,Jump,Peak Human Condition,Power Bestowal,Reflexes,Shockwaves Generation,Stamina,Statistics Amplification,Super Speed,Super Strength,Transformation,Wind Control,Absolute Condition,Accelerated Development,Accelerated Healing,Adaptation,Cold Resistance,Danger Sense,Dexterity,Energy Resistance,Enhanced Sight,Fire Resistance,Heat Resistance,Invulnerability,Levitation,Longevity,Marksmanship,Master Martial Artist,Master Tactician,Power Absorption Immunity,Social Influencing,Vibration Manipulation,Weather Control,Enhanced Hearing,Flight,Seismic Power,Stealth",MHA - My Hero Academia,Good,Male
Bakugo(One For All),55,55,50,70,50,75,3,"Enhanced Senses,Explosion Manipulation,Heat Generation,Heat Resistance,Indomitable Will,Lava Manipulation,Super Speed,Super Strength,Acrobatics,Agility,Flight,Jump,Master Martial Artist,Reflexes",MHA - My Hero Academia,Good,Male
Battle Fist,60,25,5,25,45,45,1,"Super Strength,Size Changing",MHA - My Hero Academia,Good,Male
Best Jeanist,55,100,35,25,50,80,1,"Cloth Manipulation,Acrobatics,Agility,Reflexes,Web Creation",MHA - My Hero Academia,Good,Male
Camie Utsushimi,45,5,7,10,30,45,1,Illusions,MHA - My Hero Academia,Good,Female
Cementoss,55,50,25,25,30,50,1,"Element Control,Terrakinesis",MHA - My Hero Academia,Good,Male
Comicman,55,1,5,10,55,20,1,"Creation,Terrakinesis",MHA - My Hero Academia,Good,Male
Dabi,55,1,25,25,50,70,1,"Fire Control,Heat Generation,Cold Resistance,Fire Resistance,Heat Resistance,Flight",MHA - My Hero Academia,Bad,Male
Deku (One For All 100%),75,100,75,70,100,85,3,"Accelerated Development,Acrobatics,Agility,Bullet Time,Danger Sense,Durability,Emotional Power Up,Energy Blasts,Energy Constructs,Energy Embodiment,Energy Manipulation,Energy Resistance,Enhanced Condition,Flight,Grappling/Climbing,Indomitable Will,Information Analysis,Intelligence,Latent Abilities,Levitation,Master Martial Artist,Master Tactician,Mind Control Resistance,Peak Human Condition,Photographic Reflexes,Power Absorption Immunity,Power Bestowal,Power Mimicry Immunity,Power Modification,Pressure Points,Rage Power,Reactive Power Level,Reflexes,Shockwaves Generation,Smoke Manipulation,Stamina,Statistics Amplification,Super Speed,Super Strength,Supernatural Condition,Tentacles,Weapon Creation,Wind Control,Adaptation,Air Control,Awakened Power,Blessed,Creation,Danmaku,Dexterity,Electrokinesis,Energy Absorption,Enhanced Senses,Extrasensory Perception,Gliding,Instinctive Reaction,Intuitive aptitude,Jump,Marksmanship,Multiple Limbs,Pain Suppression,Photographic Deduction,Physics Manipulation,Power Augmentation,Precognition,Preparation,Projection,Reactive Evolution,Self-Destruction,Social Influencing,Vibration Manipulation,Natural Weapons",MHA - My Hero Academia,Good,Male
Deku,80,75,50,35,50,70,2,"Air Control,Durability,Indomitable Will,Information Analysis,Intelligence,Master Martial Artist,Peak Human Condition,Reflexes,Shockwaves Generation,Stamina,Statistics Amplification,Super Speed,Super Strength,Supernatural Condition,Accelerated Development,Acrobatics,Adaptation,Agility,Damage Boost,Danger Sense,Dexterity,Emotional Power Up,Endurance,Energy Manipulation,Energy Resistance,Enhanced Condition,Enhanced Senses,Enhanced Touch,Extrasensory Perception,Jump,Marksmanship,Master Tactician,Mind Control Resistance,Power Absorption Immunity,Power Bestowal,Preparation,Pressure Points,Social Influencing,Stealth,Vibration Manipulation,Weapon Creation,Weapons Master,Flight,Levitation,Multiple Personalities,Precognition,Rage Power,Smoke Manipulation,Wind Control",MHA - My Hero Academia,Good,Male
Denki Kaminari,40,7,7,7,50,15,1,"Electricity Absorption,Electricity Resistance,Electrokinesis,Energy Absorption,Energy Armor",MHA - My Hero Academia,Good,Male
Ectoplasm,55,25,25,25,25,45,1,"Master Martial Artist,Acrobatics,Agility,Duplication,Ectoplasm Manipulation,Reflexes,Size Changing,Super Breath",MHA - My Hero Academia,Good,Male
Edgeshot,55,25,30,25,55,85,1,"Acrobatics,Agility,Elasticity,Jump,Reflexes,Size Changing,Stealth,Transformation,Durability Negation",MHA - My Hero Academia,Good,Male
Eijiro Kirishima,55,25,25,25,25,60,1,"Durability,Natural Armor,Peak Human Condition,Fire Resistance,Heat Resistance,Master Martial Artist,Reflexes",MHA - My Hero Academia,Good,Male
Endeavor,55,25,30,25,25,75,1,"Peak Human Condition,Danmaku,Enhanced Senses,Fire Control,Fire Resistance,Flight",MHA - My Hero Academia,Good,Male
Eraser Head,60,25,50,25,70,80,1,"Acrobatics,Agility,Power Nullifier,Cloaking,Jump,Master Martial Artist,Reflexes,Weapon-based Powers",MHA - My Hero Academia,Good,Male
Eri,40,1,5,5,85,5,1,"Heal,Age Manipulation,Existence Erasure",MHA - My Hero Academia,Good,Female
Fat Gum,55,85,25,25,25,85,1,"Master Martial Artist,Absorption,Elasticity,Energy Absorption,Natural Armor",MHA - My Hero Academia,Good,Male
Fourth Kind,0,0,0,0,0,0,0,Null,MHA - My Hero Academia,,
Fumikage Tokoyami,55,25,25,25,25,70,1,"Acrobatics,Agility,Flight,Jump,Reflexes,Size Changing,Umbrakinesis,Summoning",MHA - My Hero Academia,Good,Male
Gang Orca,55,30,30,20,60,70,1,"Peak Human Condition,Echolocation,Master Martial Artist,Paralysis,Vibration Manipulation",MHA - My Hero Academia,Good,Male
Gentle Criminal,55,25,25,25,25,25,1,"Attack Negation,Attack Reflection,Super Speed,Elasticity,Acrobatics,Agility,Flight,Force Fields,Jump,Levitation,Master Martial Artist,Reflexes",MHA - My Hero Academia,Neutral,Male
Gigantomachia,45,100,35,30,65,45,1,"Pain Suppression,Enhanced Senses,Master Martial Artist",MHA - My Hero Academia,Bad,Male
Gran Torino,55,1,35,17,45,45,1,"Peak Human Condition,Super Speed,Acrobatics,Agility,Master Martial Artist,Wind Control,Flight",MHA - My Hero Academia,Good,Male
Hanta Sera,55,6,7,25,30,15,1,"Cloth Manipulation,Creation",MHA - My Hero Academia,Good,Male
Hawks,65,25,35,25,45,45,1,"Danmaku,Enhanced Hearing,Enhanced Sight,Flight,Telekinesis,Weapons Master",MHA - My Hero Academia,Neutral,Male
Himiko Toga,55,25,30,25,50,70,1,"Acrobatics,Agility,Master Martial Artist,Power Mimicry,Reflexes,Shapeshifting,Stealth,Transformation,Weapons Master",MHA - My Hero Academia,Bad,Female
Hiryu Rin,60,1,5,10,40,45,1,"Durability,Animal Attributes,Marksmanship,Natural Armor",MHA - My Hero Academia,Good,Male
Hitoshi shinso,60,20,25,25,50,1,1,Mind Control,MHA - My Hero Academia,Neutral,Male
Hound Dog,40,25,25,25,25,25,1,"Animal Attributes,Animal Oriented Powers,Enhanced Senses,Enhanced Smell,Enhanced Hearing",MHA - My Hero Academia,Good,Male
Ibara Shiozaki,55,20,5,5,45,45,1,"Enhanced Senses,Plant Control,Electricity Resistance,Hair Manipulation",MHA - My Hero Academia,Good,Female
Inasa Yoarashi,45,25,25,25,25,45,1,"Flight,Wind Control,Indomitable Will,Levitation",MHA - My Hero Academia,Good,Male
Invisible Girl,60,6,7,7,30,15,1,"Invisibility,Stealth,Light Control",MHA - My Hero Academia,Good,Female
Jurota Shishida,60,25,10,25,40,45,1,"Durability,Intelligence,Stamina,Super Speed,Super Strength,Electricity Resistance,Enhanced Hearing,Enhanced Senses,Enhanced Sight,Enhanced Smell,Jump,Transformation,Size Changing",MHA - My Hero Academia,Good,Male
Juzo Honenuki,65,1,5,5,40,45,1,"Intelligence,Melting,Reflexes",MHA - My Hero Academia,,
Kamui Woods,55,25,35,25,25,60,1,"Acrobatics,Agility,Jump,Master Martial Artist,Reflexes,Transformation",MHA - My Hero Academia,Good,Male
Katsuki Bakugo,55,50,45,25,40,45,1,"Acrobatics,Agility,Explosion Manipulation,Heat Resistance,Jump,Master Martial Artist,Reflexes,Flight",MHA - My Hero Academia,Good,Male
Kendo Rappa,45,30,30,20,35,45,1,"Master Martial Artist,Reflexes",MHA - My Hero Academia,Bad,Male
Koji Koda,55,20,5,10,30,15,1,Animal Control,MHA - My Hero Academia,Good,Male
Kojiro Bondo,55,5,5,5,35,40,1,Substance Secretion,MHA - My Hero Academia,Good,Male
Kosei Tsuburaba,55,1,5,5,35,45,1,"Air Control,Energy Constructs",MHA - My Hero Academia,Good,Male
Kurogiri,50,0,25,25,75,5,1,"Portal Creation,Spatial Manipulation,Teleportation,Non-Corporeal",MHA - My Hero Academia,Bad,Male
Kyoka Jiro,55,5,7,25,30,25,1,"Enhanced Hearing,Audio Control,Shockwaves Generation,Sonic Scream",MHA - My Hero Academia,Good,Female
La Brava,55,1,5,15,50,10,1,"Hacking,Love Inducement,Power Augmentation",MHA - My Hero Academia,Bad,Female
Lemillion,65,25,30,25,65,80,1,"Peak Human Condition,Intangibility,Master Martial Artist",MHA - My Hero Academia,,
Mashirao Ojiro,50,25,25,25,25,50,1,"Acrobatics,Agility,Master Martial Artist,Reflexes",MHA - My Hero Academia,Good,Male
Mei Hatsume,70,25,20,25,25,15,1,"Enhanced Sight,Intelligence,Vision - Telescopic,Information Analysis",MHA - My Hero Academia,Good,Female
Mezo Shoji,55,25,25,25,25,60,1,"Enhanced Senses,Gliding,Organic Manipulation,Regeneration,Master Martial Artist",MHA - My Hero Academia,Good,Male
Midnight,60,1,5,10,40,75,1,"Acrobatics,Agility,Reflexes,Sleep Manipulation,Weapons Master,Love Inducement,Smoke Manipulation,Substance Secretion",MHA - My Hero Academia,Good,Female
Mina Ashido,55,13,25,25,40,50,1,"Acid Manipulation,Acrobatics,Agility,Jump,Master Martial Artist,Reflexes",MHA - My Hero Academia,Good,Female
Minoru Mineta,55,1,25,25,30,55,1,"Hair Manipulation,Weapon-based Powers",MHA - My Hero Academia,Good,Male
Mirko,60,50,40,35,50,50,1,"Animal Attributes,Animal Oriented Powers,Durability,Enhanced Hearing,Super Speed,Super Strength,Acrobatics,Agility,Dexterity,Endurance,Jump,Master Martial Artist,Reflexes,Supernatural Condition",MHA - My Hero Academia,Good,Female
Momo Yaoyorozu,55,25,25,25,25,65,1,"Agility,Creation,Reflexes,Weapon Creation,Weapons Master",MHA - My Hero Academia,Good,Female
Mount Lady,50,85,25,25,50,60,1,"Size Changing,Transmutation",MHA - My Hero Academia,Good,Female
Mr. Compress,60,10,25,25,25,25,1,"Durability,Paralysis,Petrification,Sealing,Acrobatics,Agility,Reflexes,Dexterity,Jump,Marksmanship,Master Martial Artist,Matter Manipulation,Shapeshifting,Transformation,Transmutation,Weapon Creation",MHA - My Hero Academia,Bad,Male
Ms. Joke,55,10,20,20,30,40,1,"Compassion Inducement,Empathy,Master Martial Artist,Paralysis",MHA - My Hero Academia,Good,Female
Muscular,55,100,25,25,25,45,1,"Peak Human Condition,Super Strength,Master Martial Artist,Statistics Amplification,Biokinesis",MHA - My Hero Academia,Bad,Male
Neito Monoma,60,10,20,15,50,10,1,Power Mimicry,MHA - My Hero Academia,Good,Male
Nejire Hado,55,80,30,15,50,70,1,"Energy Manipulation,Flight,Power Absorption Immunity,Vibration Manipulation",MHA - My Hero Academia,Good,Female
Nezu,90,1,5,10,50,20,1,"Intelligence,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Information Analysis,Mechanical Aptitude",MHA - My Hero Academia,Good,Male
Nirengeki Shoda,55,1,5,5,55,40,1,"Intelligence,Damage Boost",MHA - My Hero Academia,Good,Male
Ochaco Uraraka,55,25,25,25,25,50,1,"Acrobatics,Agility,Gravity Control,Master Martial Artist,Reflexes",MHA - My Hero Academia,Good,Female
Overhaul,65,100,35,30,85,70,1,"Master Martial Artist,Acrobatics,Agility,Deconstruction,Element Control,Fusion,Matter Manipulation,Molecular Manipulation,Reflexes,Transmutation,Vitakinesis,Resurrection",MHA - My Hero Academia,Bad,Male
Pony Tsunotori,60,1,10,5,35,45,1,"Animal Attributes,Animal Oriented Powers,Marksmanship,Flight,Levitation,Weapon Creation",MHA - My Hero Academia,Good,Female
Power Loader,55,1,35,15,30,65,1,Weapon Creation,MHA - My Hero Academia,Good,Male
Present Mic,60,25,25,25,25,70,1,"Master Martial Artist,Sound Manipulation,Shockwaves Generation,Vibration Manipulation",MHA - My Hero Academia,Good,Male
Re-Destro,55,100,30,20,35,50,1,"Master Martial Artist,Size Changing,Transformation",MHA - My Hero Academia,Bad,Male
Recovery Girl,70,1,1,5,50,20,1,"Heal,Accelerated Healing",MHA - My Hero Academia,Good,Female
Reiko Yanagi,55,1,5,5,50,45,1,"Telekinesis,Master Tactician",MHA - My Hero Academia,Good,Female
Rikido Sato,55,80,25,25,30,50,1,Statistics Amplification,MHA - My Hero Academia,Good,Male
Rikiya Katsukame,45,100,30,25,25,45,1,"Master Martial Artist,Power Absorption,Size Changing,Statistics Amplification",MHA - My Hero Academia,Bad,Male
Seiji Shishikura,55,5,7,7,50,20,1,"Matter Manipulation,Organic Manipulation,Petrification,Transformation,Sealing,Shapeshifting,Transmutation",MHA - My Hero Academia,Good,Male
Sen Kaibara,55,1,5,5,40,55,1,"Agility,Master Martial Artist,Organic Manipulation",MHA - My Hero Academia,Good,Male
Setsuna Tokage,55,1,10,10,55,40,1,"Intelligence,Accelerated Healing,Levitation,Regeneration,Stealth,Organic Manipulation",MHA - My Hero Academia,Good,Female
Shemage,50,1,5,5,50,20,1,Plant Control,MHA - My Hero Academia,,
Shoto Todoroki,75,25,25,25,25,70,1,"Cold Resistance,Cryokinesis,Durability,Fire Control,Fire Resistance,Heat Generation,Heat Resistance,Intelligence,Peak Human Condition,Stamina,Super Speed,Super Strength,Accelerated Development,Acrobatics,Agility,Danger Sense,Dexterity,Endurance,Enhanced Senses,Indomitable Will,Jump,Master Martial Artist,Reflexes,Stealth,Wind Control,Flight",MHA - My Hero Academia,Good,Male
Sir Nighteye,75,5,10,10,50,45,1,"Intelligence,Agility,Marksmanship,Precognition,Weapon-based Powers",MHA - My Hero Academia,Good,Male
Snipe,55,15,20,20,30,40,1,"Homing Attack,Marksmanship,Weapon-based Powers,Weapons Master",MHA - My Hero Academia,Good,Male
Spinner,50,13,25,25,20,70,1,"Gliding,Acrobatics,Agility,Jump,Reflexes,Vehicular Mastery,Weapons Master",MHA - My Hero Academia,Bad,Male
Stain,55,25,25,25,25,85,1,"Acrobatics,Agility,Jump,Paralysis,Reflexes,Social Influencing,Weapons Master",MHA - My Hero Academia,Bad,Male
Star And Stripe,65,18,25,25,75,85,1,"Ability Shift,Acrobatics,Bullet Time,Causality Manipulation,Chaos Manipulation,Conceptual Manipulation,Death Manipulation,Energy Blasts,Enhanced Condition,Enhanced Senses,Entropy Projection,Fate Manipulation,Intelligence,Law Manipulation,Life Manipulation,Master Tactician,Matter Manipulation,Peak Human Condition,Power Augmentation,Power Bestowal,Power Modification,Reactive Power Level,Reflexes,Stamina,Statistics Amplification,Subjective Reality,Transmutation,Truth Manipulation,Wishing,Acausality,Agility,Element Control,Energy Constructs,Energy Manipulation,Flight,Gadget Usage,Latent Abilities,Light Control,Master Martial Artist,Metaphysics Manipulation,Molecular Immobilization,Non-Physical Interaction,Nothingness Aspect Manifestation,Origin Manipulation,Pataphysics Manipulation,Physics Manipulation,Power Nullifier,Projection,Psionic Powers,Reactive Evolution,Reality Warping,Statistics Reduction,Status Effect Inducement,Weather Control",MHA - My Hero Academia,Good,
Tamaki Amajiki,55,25,30,25,35,75,1,"Acrobatics,Agility,Changing Armor,Creation,Flight,Master Martial Artist,Reflexes,Toxin and Disease Control,Transformation,Weapon Creation,Organic Manipulation,Power Mimicry",MHA - My Hero Academia,Good,Male
Tenya Ida,55,25,35,25,35,70,1,"Acrobatics,Agility,Cyborgization,Flight,Master Martial Artist,Reflexes,Statistics Amplification,Vehicular Mastery",MHA - My Hero Academia,Good,Male
Tetsutetsu Tetsutetsu,55,25,5,25,35,55,1,"Durability,Natural Armor,Peak Human Condition,Super Strength,Cold Resistance,Fire Resistance,Heat Resistance,Master Martial Artist,Reflexes,Transformation",MHA - My Hero Academia,Good,Male
Thirteen,55,20,20,30,50,20,1,"Absorption,Black Hole Manipulation,Matter Absorption",MHA - My Hero Academia,Good,Female
Togaru Kamakiri,55,1,5,10,45,45,1,"Weapon Creation,Weapons Master,Master Martial Artist",MHA - My Hero Academia,Good,Male
Tomura Shigaraki (All For One),65,80,50,70,100,95,3,"Absorption,Accelerated Development,Accelerated Healing,Air Control,Attack Reflection,Biokinesis,Blessed,Bone Manipulation,Damage Boost,Danmaku,Death Touch,Decay Embodiment,Deconstruction,Electrokinesis,Enhanced Condition,Explosion Manipulation,Extrasensory Perception,Fear Inducement,Flight,Illusions,Indomitable Will,Information Analysis,Insanity,Longevity,Master Martial Artist,Mind Control Resistance,Molecular Dissipation,Pain Suppression,Peak Human Condition,Photographic Reflexes,Power Absorption,Power Augmentation,Power Bestowal,Power Mimicry,Power Modification,Power Nullifier,Projection,Radiation Control,Rage Power,Regeneration,Shockwaves Generation,Social Influencing,Statistics Amplification,Statistics Reduction,Super Strength,Supernatural Condition,Teleportation,Vision - Infrared,Weapon Creation,Wing Manifestation,Ability Shift,Acrobatics,Adaptation,Apathy,Bloodlust,Body Puppetry,Bullet Time,Corruption,Damage Reduction,Enhanced Touch,Fear Manipulation,Information Manipulation,Instinctive Reaction,Molecular Manipulation,Multiple Personalities,Natural Weapons,Organic Manipulation,Pain Manipulation,Physics Manipulation,Preparation,Radar Sense,Radiation Immunity,Reactive Evolution,Reflexes,Self-Sustenance,Sonar,Tentacles,Weapons Master,Willpower Manipulation,Summoning",MHA - My Hero Academia,Bad,Male
Tomura Shigaraki,45,30,25,25,60,45,0,"Absorption,Accelerated Healing,Agility,Awakened Power,Death Touch,Decay Embodiment,Durability,Endurance,Enhanced Senses,Enhanced Sight,Enhanced Touch,Flight,Power Absorption,Radar Sense,Reflexes,Regeneration,Super Speed,Super Strength,Weather Control",MHA - My Hero Academia,Bad,Male
Tsuyu Asui,60,25,25,25,25,45,1,"Acrobatics,Agility,Animal Attributes,Animal Oriented Powers,Camouflage,Master Martial Artist,Paralysis,Reflexes,Toxin and Disease Control,Organic Manipulation",MHA - My Hero Academia,Good,Female
Twice,40,25,25,25,25,65,1,"Duplication,Insanity,Multiple Personalities",MHA - My Hero Academia,Bad,Male
Vantablack,55,1,5,10,50,20,1,"Shadow Manipulation,Phasing,Umbrakinesis",MHA - My Hero Academia,Good,Male
Vlad King,55,25,25,25,25,25,1,"Blood Manipulation,Weapon Creation",MHA - My Hero Academia,Good,Male
Yosetsu Awase,55,1,5,5,45,45,1,"Stealth,Organic Manipulation,Subatomic Manipulation",MHA - My Hero Academia,,
Yuga Aoyama,55,5,7,7,30,15,1,"Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Light Control",MHA - My Hero Academia,Good,Male
Yui Kodai,55,1,5,5,55,45,1,"Intelligence,Matter Manipulation",MHA - My Hero Academia,Good,Female
